Name,Genre,Publisher,Year,Global_Sales
Sharable bifurcated algorithm,Adventure,"Maharaj, Konda and Kapoor",2013,37.1
Devolved user-facing benchmark,Shooter,"Chahal, Sami and Balay",2016,7.06
Assimilated background data-warehouse,Adventure,Tiwari PLC,2023,37.06
Assimilated next generation customer loyalty,Adventure,"Saini, Kannan and Sen",2022,21.15
Reverse-engineered even-keeled workforce,Action,Dutta Ltd,2014,11.01
Optimized global focus group,Action,Kale LLC,2021,10.02
Customer-focused background implementation,Puzzle,Parmer LLC,2016,22.52
Robust empowering workforce,Sports,Sharaf PLC,2013,37.96
Decentralized homogeneous artificial intelligence,RPG,"Memon, Pathak and Handa",2019,17.08
Triple-buffered asymmetric analyzer,RPG,"Kari, Mann and Buch",2016,47.86
Focused bandwidth-monitored implementation,Racing,Setty-Patla,2014,4.73
Diverse holistic help-desk,Adventure,Loke Ltd,2018,42.39
Synergized secondary archive,Sports,"Garg, Walla and Konda",2013,36.51
Diverse maximized implementation,Adventure,Kanda-Nair,2019,4.03
Visionary zero-defect approach,Sports,Balay LLC,2023,30.96
Open-architected encompassing architecture,Racing,Murty and Sons,2022,9.7
Streamlined modular infrastructure,Adventure,"Shanker, Dhar and Lanka",2013,33.1
Devolved dynamic synergy,Sports,"Yohannan, Lall and Sangha",2014,42.78
Reduced impactful hierarchy,Adventure,Devi PLC,2019,13.97
Proactive background system engine,Racing,Choudhary and Sons,2015,18.57
Self-enabling cohesive utilization,Shooter,"Sami, Bhatt and Rajan",2023,13.42
Multi-tiered radical Local Area Network,Adventure,"Krishnamurthy, Apte and Contractor",2022,31.79
Synergized national system engine,Shooter,Oak-Choudhury,2015,23.17
Implemented intermediate complexity,Sports,Aggarwal-Lall,2023,34.44
Profit-focused well-modulated conglomeration,Shooter,"Cherian, Misra and Tripathi",2023,16.28
Robust dedicated collaboration,Action,Edwin-Zacharia,2016,41.11
Vision-oriented multi-tasking ability,Racing,"Naik, Suresh and Bahl",2019,13.46
Customizable high-level workforce,Shooter,Khatri-Bhardwaj,2022,43.83
Front-line non-volatile artificial intelligence,Racing,Sunder Inc,2016,32.81
Virtual national throughput,Puzzle,Dave Ltd,2023,23.0
Phased neutral concept,Sports,Wable-Sampath,2015,12.41
Extended needs-based system engine,Sports,"Iyer, Muni and Rastogi",2022,21.48
Synchronized solution-oriented hub,Puzzle,Varughese-Seth,2018,11.04
Decentralized dynamic definition,RPG,Nigam Inc,2021,24.73
Reverse-engineered neutral emulation,Action,"Kannan, Amble and Bobal",2014,7.73
Triple-buffered responsive approach,RPG,Bir Inc,2023,21.17
Managed asynchronous migration,Adventure,Mallick Ltd,2019,19.14
Pre-emptive didactic moratorium,Simulation,Solanki and Sons,2021,12.65
Phased incremental core,Action,Chatterjee Ltd,2023,36.06
Optional heuristic interface,Sports,Sibal-Bhagat,2023,17.07
Synergistic solution-oriented project,Sports,Bhat Group,2019,7.99
Upgradable global website,Action,Kothari and Sons,2017,48.6
Ergonomic national knowledge user,RPG,Sami and Sons,2021,45.64
Grass-roots maximized encryption,Sports,Savant PLC,2023,25.43
Cross-platform actuating projection,Shooter,"Aurora, Chander and Khalsa",2015,18.76
Down-sized incremental matrix,RPG,Kala-Rattan,2021,47.68
Centralized composite implementation,Action,Ramakrishnan LLC,2022,16.28
Persevering executive interface,Action,"Sur, Dubey and Gupta",2014,46.46
Implemented didactic approach,Sports,"Bhat, Murthy and Bhandari",2016,2.99
Business-focused optimal matrices,Adventure,"Wali, Dugar and Bhandari",2014,36.62
Profound attitude-oriented contingency,Adventure,Bir Ltd,2021,38.32
Front-line impactful capability,RPG,"Koshy, Baral and Bumb",2023,23.82
Operative stable paradigm,RPG,"Virk, Mutti and Lal",2017,26.43
Expanded static structure,Puzzle,Khare-Lanka,2016,46.45
Object-based clear-thinking secured line,Shooter,"Mital, Shankar and Mutti",2017,20.01
Versatile asynchronous access,Racing,Chaudhry-Borah,2020,44.99
Public-key didactic middleware,Simulation,Deo-Palla,2014,12.47
Cloned dynamic hub,Adventure,Dugar-Sarma,2018,1.15
Quality-focused tertiary framework,Shooter,"Wadhwa, Anand and Mistry",2022,11.09
Switchable bi-directional challenge,Adventure,D’Alia-Chhabra,2023,3.04
User-friendly neutral collaboration,Adventure,Manda-Kade,2013,43.0
Universal global database,Adventure,"Lalla, Tiwari and Suresh",2021,11.98
Function-based actuating array,Simulation,"Sampath, Malhotra and Basu",2016,27.01
Adaptive full-range throughput,Simulation,Lala and Sons,2016,39.25
User-centric leadingedge neural-net,Puzzle,"Sane, Andra and Choudhury",2016,4.81
Compatible system-worthy collaboration,Puzzle,"Banik, Pingle and Divan",2018,21.24
Optional clear-thinking analyzer,Simulation,Patla-Baral,2013,33.7
Multi-channeled demand-driven software,Adventure,Chauhan LLC,2013,20.19
Vision-oriented next generation installation,Racing,"Dubey, Khalsa and Gaba",2014,12.51
Enhanced incremental algorithm,Shooter,Natarajan Group,2021,22.49
Synchronized user-facing workforce,Puzzle,Loke and Sons,2015,14.0
Total bi-directional implementation,Shooter,Singhal and Sons,2014,22.21
Exclusive logistical hardware,Adventure,Kari-Kapoor,2013,32.64
Assimilated stable core,Action,Narasimhan-Mallick,2014,46.33
Cloned zero administration focus group,Shooter,Upadhyay-Ratta,2015,20.38
Synergistic national groupware,Simulation,D’Alia LLC,2016,43.25
Enhanced optimal firmware,Action,Chopra PLC,2015,19.01
Optional grid-enabled superstructure,Puzzle,Sarin-Vaidya,2017,46.33
Customizable human-resource orchestration,Simulation,Kumar Inc,2017,21.21
Triple-buffered intermediate ability,Simulation,"Yohannan, Hegde and Patla",2015,9.58
Optional asymmetric secured line,Shooter,Murthy-Dash,2013,29.0
Up-sized exuding middleware,Action,Rege-Narain,2018,2.95
Open-architected tangible frame,Simulation,"Datta, Handa and Salvi",2021,45.98
Synchronized homogeneous service-desk,RPG,"Ghosh, Mitra and Ravi",2013,48.04
Reactive 24hour framework,Adventure,Kade-Sani,2015,3.52
Reduced real-time projection,Adventure,Shroff-Sathe,2023,43.1
Organic systematic data-warehouse,Puzzle,"Solanki, Gara and Chad",2014,47.09
Horizontal multimedia protocol,Shooter,"Nayak, Chander and Keer",2022,29.77
Synergistic fault-tolerant definition,Adventure,Din Inc,2019,32.9
Balanced dynamic leverage,Racing,"Bora, Shah and Sachdeva",2017,10.29
Self-enabling object-oriented core,Racing,"Rajagopalan, Talwar and Ratta",2016,13.35
Fully-configurable client-server projection,RPG,"Ahluwalia, Chhabra and Sandal",2023,32.31
Face-to-face context-sensitive website,Simulation,"Vasa, Shetty and Bedi",2018,46.46
Realigned dynamic capability,Adventure,Deol-Shetty,2013,22.97
Synchronized multi-tasking open architecture,Adventure,"Nadig, Savant and Thaman",2014,26.93
Optimized neutral knowledge user,Sports,Soman Group,2015,46.67
Fundamental web-enabled encryption,Adventure,"Malhotra, Verma and Sundaram",2016,18.54
Self-enabling disintermediate focus group,RPG,Brahmbhatt-Mangal,2020,41.7
Front-line encompassing groupware,Sports,Zachariah-Buch,2022,49.19
Devolved coherent emulation,Action,Dua-Kala,2023,40.87
